點蒼派	dm[bd ch[cr pd[dp
點蒼漁隱	dm[bd ch[cr yu[dy yb[ed
電母照鏡	dm[ov mu[vv vc[od jk[jl
碘鹽水	dm[ed yj[tm uv[uu
弔客臨門	dn[kj ke[gw lb[uv mf[du
疊翠浮青	dp[yq cv[xw fu[da qk[fo
蝶花盟	dp[in hx[cr mg[om
丁不三	dk[hu bu[eu sj[hh
丁不四	dk[hu bu[eu si[we
丁大全	dk[hu da[hr qr[rw
丁璫	dk[hu dh[wx
丁典	dk[hu dm[kb
丁堅	dk[hu jm[ut
定靜師太	dk[gp jk[fd ui[uh td[dd
丁靈琳	dk[hu lk[xh lb[wa
丁敏尹	dk[hu mb[rw yb[xp
定判生死	dk[gp pj[bd ug[pf si[hx
丁麒	dk[hu qi[gq
丁青青	dk[hu qk[fo qk[fo
丁鐵幹	dk[hu tp[jp gj[hu
丁同	dk[hu ts[kh
丁喜	dk[hu xi[uk
定陽針	dk[gp yh[eo vf[ju
定逸	dk[gp yi[dz
丁遊	dk[hu yz[df
東方玄穹	ds[qx fh[dw xr[wy qs[xg
董開山	ds[cp kd[hc uj[uk
洞虛	ds[dk xu[hy
洞玄	ds[dk xr[wy
都大錦	dz[te da[hr jb[jb
都史	dz[te ui[ki
斗轉星移	dz[du vr[ie xk[op yi[hx
杜百當	du[at bd[eo dh[xx
獨臂刀法	du[qi bi[uo dc[vp fa[dt
渡厄	du[dg ee[ie
獨孤九劍	du[qi gu[zp jq[pv jm[rd
渡劫	du[dg jp[tl
杜立德	du[at li[lh de[ru
毒龍鞭法	du[fm ls[yp bm[gr fa[dt
渡難	du[dg nj[yv
杜慶田	du[at qk[gd tm[wu
都市王	du[te ui[wj wh[su
杜希孟	du[at xi[iu mg[zm
獨陽子	du[qi yh[eo zi[lh
杜長老	du[at vh[ph lc[tb
端木氏赤焰洞	dr[lu mu[ub ui[pq ii[ty yj[hd ds[dk
對喀納	dv[yc ka[kg na[sk
遁甲宗	dy[pz jx[ou zs[ge
多隆	do[xx ls[ew
多羅葉指	do[xx lo[sx ye[ku vi[fb
奪命連環三仙劍	do[dc mk[rh lm[iz hr[wb sj[hh xm[ru jm[rd
奪魄指	do[dc po[bg vi[fb
鄂北鬼見愁鍾家	ee[ke bw[ub gv[be jm[ke iz[hx vs[jp jx[gu
惡虎攔路	ee[hx hu[hj lj[fb lu[zw
峨嵋劍法	ee[up mw[um jm[rd fa[dt
峨嵋九陽功	ee[up mw[um jq[pv yh[eo gs[gl
惡魔火神劍	ee[hx mo[gg ho[dp uf[uo jm[rd
惡犬攔路	ee[hx qr[dd lj[fb lu[zw
爾國臨格	er[dx go[ww lb[uv ge[aw
範幫主	fj[cd bh[fj vu[dw
梵光初現	fj[aj gl[xe iu[yd xm[wj
反截狗臀	fj[py jp[tv gz[qb ty[uo
飯來伸手	fj[up ld[hm uf[ro uz[su
反兩儀刀法	fj[py ll[hk yi[rd dc[vp fa[dt
範遙	fj[cd yc[az
範一飛	fj[cd yi[hh fw[vp
樊一翁	fj[ad yi[hh wg[bx
範禹	fj[cd yu[pk
範中恩	fj[cd vs[ku en[wx
翻轉乾坤	fj[px vr[ie qm[ur ky[to
方寶玉	fh[dw bc[gw yu[wd
方大洪	fh[dw da[hr hs[dg
方東白	fh[dw ds[qx bd[po
方人智	fh[dw rf[pd vi[uo
方有德	fh[dw yz[uo de[ru
方玉飛	fh[dw yu[wd fw[vp
方證	fh[dw vg[yh
飛鳳手	fw[vp fg[jy uz[su
斐螋	fw[fw sz[ij
飛天神行	fw[vp tm[hd uf[uo xk[rh
飛絮勁	fw[vp xu[ny jb[sl
飛燕穿柳	fw[vp yj[nk ir[xy lq[ap
飛燕迴翔	fw[vp yj[nk hv[wk xl[yx
費要多羅	fw[fb yc[xn do[xx lo[sx
斐蜮族	fw[fw yu[ig zu[fr
飛雲真人	fw[vp yy[es vf[uj rf[pd
風爆	fg[ji bc[ho
馮不摧	fg[dm bu[eu cv[fu
封不平	fg[tc bu[eu pk[hb
馮不破	fg[dm bu[eu po[ep
鳳飛煙	fg[jy fw[vp yj[hw
馮衡	fg[dm hg[rd
風際中	fg[ji ji[ee vs[ku
風捲長草	fg[ji jr[be vh[ph cc[co
風良	fg[ji ll[dg
馮默風	fg[dm mo[hq fg[ji
瘋魔杖法	fg[bf mo[gg vh[ah fa[dt
馮難敵	fg[dm nj[yv di[qw
鳳南天	fg[jy nj[uk tm[hd
鳳曲長鳴	fg[jy qu[ou ih[ph mk[kn
風沙莽莽	fg[ji ua[dx mh[cq mh[cq
風四娘	fg[ji si[we nl[nl
馮坦	fg[dm tj[to
封壇主	fg[tc tj[te vu[dw
馮同知	fg[dm ts[kh vi[uk
封萬里	fg[tc wj[hv li[ot
風無羈	fg[ji wu[ee ji[sg
風系道術	fg[ji xi[py dc[bz uu[ad
鳳一鳴	fg[jy yi[hh mk[kn
封緣銀城	fg[tc yr[sv yb[jg ig[tw
風雲三使	fg[ji yy[es sj[hh ui[rh
馮振武	fg[dm vf[fi wu[hv
佛域	fo[rf yu[tg
佛宗特使	fo[rf zs[ge te[nt ui[rh
傅嫦雪	fu[rf ih[nx xt[yx
拂塵拂法	fu[ff if[xt fu[ff fa[dt
伏虎掌	fu[rq hu[hj vh[xf
伏魔劍	fu[rq mo[gg jm[rd
伏魔杖法	fu[rq mo[gg vh[ah fa[dt
伏牛派	fu[rq nq[pf pd[dp
夫妻刀法	fu[er qi[hn dc[vp fa[dt
撫琴按簫	fu[fe qb[wr an[fg xn[vx
撫琴式	fu[fe qb[wr ui[qg
浮丘挹袖	fu[da qq[jh yi[fk xq[yy
芙蓉劍法	fu[ce rs[cx jm[rd fa[dt
芙蓉金針	fu[ce rs[cx jb[rw vf[ju
伏獅勝象	fu[rq ui[qu ug[op xl[dk
負手	fu[db uz[su
扶搖子	fu[fe yc[fa zi[lh
福緣深厚	fu[uh yr[sv uf[dg hz[io
負子渡河	fu[db zi[lh du[dg he[dk
蓋運聰	gd[bm yy[ez cs[eb
罡風撼蕩	gh[sh fg[ji hj[fw dh[cd
罡風掃葉	gh[sh fg[ji sc[fx ye[ku
剛相	gh[kd xl[am
高管家	gc[wk gr[vg jx[gu
高冠勇	gc[wk gr[ge ys[sl
高冠忠	gc[wk gr[ge vs[vx
高漸飛	gc[wk jm[di fw[vp
高克新	gc[wk ke[ge xb[lj
高老大	gc[wk lc[tb da[hr
高老者	gc[wk lc[tb ve[to
高裡津	gc[wk li[ot jb[dy
高明根	gc[wk mk[oo gf[ag
高三娘子	gc[wk sj[hh nl[nl zi[lh
高師弟	gc[wk ui[uh di[bg
高太君	gc[wk td[dd jy[xk
高探馬	gc[wk tj[fg ma[vv
高亞南	gc[wk ya[hy nj[uk
高顏超	gc[wk yj[ly ic[zd
葛爾丹	ge[co er[dx dj[kw
葛通	ge[co ts[sz
葛長老	ge[co vh[ph lc[tb
庚金天君	gg[gx jb[rw tm[hd jy[xk
耿天霜	gg[eh tm[hd ul[ya
