按跡循蹤	an[fg ji[yz xy[rp zs[zg
按甲不出	an[fg jx[ou bu[eu iu[ck
按甲不動	an[fg jx[ou bu[eu ds[el
安家樂業	an[gn jx[gu le[px ye[ub
安家立業	an[gn jx[gu li[lh ye[ub
安家落戶	an[gn jx[gu lo[cd hu[du
按甲寢兵	an[fg jx[ou qb[gd bk[qb
按甲休兵	an[fg jx[ou xq[ra bk[qb
鞍甲之勞	an[gg jx[ou vi[dv lc[cl
案劍瞋目	an[ga jm[rd if[mu mu[we
暗箭明槍	an[ol jm[vb mk[oo ql[ar
暗劍難防	an[ol jm[rd nj[yv fh[ef
暗箭難防	an[ol jm[vb nj[yv fh[ef
暗箭傷人	an[ol jm[vb uh[rr rf[pd
暗箭中人	an[ol jm[vb vs[ku rf[pd
暗礁險灘	an[ol jn[ev xm[er tj[dy
安居樂俗	an[gn ju[ug le[px su[rb
安居樂業	an[gn ju[ug le[px ye[ub
安居慮危	an[gn ju[ug lv[hx ww[de
按軍不動	an[fg jy[gi bu[eu ds[el
安老懷少	an[gn lc[tb hk[xb uc[xp
安樂世界	an[gn le[px ui[nv jp[tr
諳練通達	an[yl lm[sq ts[sz da[dz
安良除暴	an[gn ll[dg iu[er bc[og
暗綠稀紅	an[ol lv[sx xi[hi hs[sg
鞍馬勞頓	an[gg ma[vv lc[cl dy[ty
鞍馬勞倦	an[gg ma[vv lc[cl jr[rb
鞍馬勞困	an[gg ma[vv lc[cl ky[wa
鞍馬勞神	an[gg ma[vv lc[cl uf[uo
鞍馬之勞	an[gg ma[vv vi[dv lc[cl
俺買酒他先醉	an[rd md[vd jq[dy ta[ry xm[ne zv[yw
安眉帶眼	an[gn mw[mm dd[cj yj[mg
安民濟物	an[gn mb[kv ji[dw wu[nb
安民則惠	an[gn mb[kv ze[bd hv[hx
按名責實	an[fg mk[xk ze[fb ui[gd
按捺不下	an[fg na[fd bu[eu xx[hb
按捺不住	an[fg na[fd bu[eu vu[rd
安難樂死	an[gn nj[yv le[px si[hx
安內攮外	an[gn nw[kr nh[fh wd[xb
安內攘外	an[gn nw[kr rh[fw wd[xb
按轡徐行	an[fg pw[sk xu[rr xk[rh
安貧樂道	an[gn pb[fb le[px dc[bz
安貧樂賤	an[gn pb[fb le[px jm[bj
安貧守道	an[gn pb[fb uz[gc dc[bz
安貧知命	an[gn pb[fb vi[uk mk[rh
暗氣暗惱	an[ol qi[rh an[ol nc[xw
安其所習	an[gn qi[cb so[pj xi[vd
鞍前馬後	an[gg qm[bo ma[vv hz[pk
按強扶弱	an[fg ql[gk fu[fe ro[gg
