哀江頭	ai[wk jl[dg tz[dd
滄江急夜流	ch[dr jl[dg ji[dx ye[wr lq[dw
蒼茫古木連窮巷	ch[cr mh[cd gu[uk mu[ub lm[iz qs[xl xl[gk
蒼茫雲海間	ch[cr mh[cd yy[es hd[dr jm[mo
蒼然滿關中	ch[cr rj[xd mj[dc gr[bt vs[ku
蒼山夾亂流	ch[cr uj[uk jx[hb lr[qv lq[dw
嘈嘈切切錯雜彈	cc[kh cc[kh qp[qd qp[qd co[jg za[ja dj[gb
草木有本心	cc[co mu[ub yz[uo bf[ah xb[dv
草色新雨中	cc[co se[db xb[lj yu[hk vs[ku
側見雙翠鳥	ce[rb jm[ke ul[yy cv[xw nn[nh
側身西望常諮嗟	ce[rb uf[pu xi[hk wh[ww ih[xk zi[dk jp[ky
參差連曲陌	cf[sd ci[yg lm[iz qu[ou mo[ee
岑夫子	cf[ur fu[er zi[lh
岑參	cf[ur uf[sd
曾貌先帝照夜白	cg[bo mc[pb xm[ne di[lj vc[od ye[wr bd[po
曾驅十萬師	cg[bo qu[mk ui[hu wj[hv ui[uh
曾是寂寥金燼暗	cg[bo ui[op ji[gu ln[gx jb[rw jb[hu an[ol
差池不相見	ia[yg ii[dy bu[eu xl[am jm[ke
釵擘黃金合分鈿	id[jy bo[uf hl[gy jb[rw he[rh ff[bd dm[jt
豺狼在邑龍在野	id[pc lh[ql zd[ut yi[kb ls[yp zd[ut ye[oy
釵留一股合一扇	id[jy lq[pt yi[hh gu[oj he[rh yi[hh uj[hx
禪房花木深	ij[ub fh[hf hx[cr mu[ub uf[dg
蟬鳴空桑林	ij[ib mk[kn ks[xg sh[ya lb[aa
蟬休露滿枝	ij[ib xq[ra lu[yz mj[dc vi[au
單于獵火照狼山	ij[bo yu[eu lp[qg ho[dp vc[od lh[ql uj[uk
單于夜遁逃	ij[bo yu[eu ye[wr dy[pz tc[vz
單于已在金山西	ij[bo yu[eu yi[kv zd[ut jb[rw uj[uk xi[hk
讒之天子言其私	ij[yd vi[dv tm[hd zi[lh yj[we qi[cb si[hs
長安城連東掖垣	ih[ph an[gn ig[tw lm[iz ds[qx ye[fw yr[th
長安城頭頭白烏	ih[ph an[gn ig[tw tz[dd tz[dd bd[po wu[bv
長安水邊多麗人	ih[ph an[gn uv[uu bm[lz do[xx li[hk rf[pd
長安一片月	ih[ph an[gn yi[hh pm[pu yt[ke
長安遇馮著	ih[ph an[gn yu[oz fg[dm vu[ct
長飆風中自來往	ih[ph bn[qf fg[ji vs[ku zi[pm ld[hm wh[rd
常存抱柱信	ih[xk cy[uz bc[fb vu[ad xb[ry
長簟迎風早	ih[ph dm[vx yk[pz fg[ji zc[ou
腸斷未忍掃	ih[ov dr[mj ww[ha rf[dx sc[fx
長風吹林雨墮瓦	ih[ph fg[ji iv[kd lb[aa yu[hk do[et wa[hv
長風幾萬裡	ih[ph fg[ji ji[pv wj[hv li[ot
長風連日作大浪	ih[ph fg[ji lm[iz ri[wh zo[rv da[hr lh[dl
長風破浪會有時	ih[ph fg[ji po[ep lh[dl hv[re yz[uo ui[oc
長風萬里送秋雁	ih[ph fg[ji wj[hv li[ot ss[bz qq[hh yj[ir
長幹行	ih[ph gj[hu xk[rh
長幹行二首之二	ih[ph gj[hu xk[rh er[hh uz[be vi[dv er[hh
長幹行二首之一	ih[ph gj[hu xk[rh er[hh uz[be vi[dv yi[hh
長歌楚天碧	ih[ph ge[kd iu[ap tm[hd bi[we
長戈利矛日可麾	ih[ph ge[qp li[hd mc[yp ri[wh ke[dk hv[gm
長歌吟松風	ih[ph ge[kd yb[kr ss[ab fg[ji
長河浪頭連天黑	ih[ph he[dk lh[dl tz[dd lm[iz tm[hd hw[sd
長恨歌	ih[ph hf[xg ge[kd
常建	ih[xk jm[yj
長江獨至今	ih[ph jl[dg du[qi vi[ht jb[rd
長江一帆遠	ih[ph jl[dg yi[hh fj[jj yr[ez
長樂鐘聲花外盡	ih[ph le[px vs[jv ug[um hx[cr wd[xb jb[ud
悵然吟式微	ih[xi rj[xd yb[kr ui[qg ww[ru
長沙過賈誼宅	ih[ph ua[dx go[cz jx[xb yi[yg vd[gp
長沙謫去古今憐	ih[ph ua[dx ve[yl qu[ts gu[uk jb[rd lm[xr
長繩百尺拽碑倒	ih[ph ug[sk bd[eo ii[ud vk[fo bw[eb dc[rh
長使英雄淚滿襟	ih[ph ui[rh yk[ck xs[uv lw[dm mj[dc jb[ya
長亭酒一瓢	ih[ph tk[wd jq[dy yi[hh pn[xp
悵望千秋一灑淚	ih[xi wh[ww qm[pu qq[hh yi[hh sa[dx lw[dm
悵臥新春白袷衣	ih[xi wo[kb xb[lj iy[so bd[po qx[yr yi[wy
長相思	ih[ph xl[am si[tx
長相思二首之二	ih[ph xl[am si[tx er[hh uz[be vi[dv er[hh
長相思二首之一	ih[ph xl[am si[tx er[hh uz[be vi[dv yi[hh
嘗學琵琶於穆曹二善才	ih[xe xt[xz pi[wb pa[wb yu[fr mu[hb cc[ho er[hh uj[yk cd[hu
長願向南流	ih[ph yr[ix xl[pk nj[uk lq[dw
朝罷須裁五色詔	ic[uo ba[st xu[py cd[ty wu[hu se[db vc[yd
朝避猛虎	ic[uo bi[uz mg[qz hu[hj
朝別黃鶴樓	ic[uo bp[kd hl[gy he[gn lz[am
潮落夜江斜月裡	ic[du lo[cd ye[wr jl[dg xp[rd yt[ke li[ot
潮平兩岸闊	ic[du pk[hb ll[hk an[ui ko[md
朝聞遊子唱驪歌	ic[uo wf[me yz[df zi[lh ih[ko li[mh ge[kd
巢在三珠樹	ic[vo zd[ut sj[hh vu[wp uu[ay
車轔轔	ie[qu lb[im lb[im
車馬去閒閒	ie[qu ma[vv qu[ts xm[ma xm[ma
車師西門佇獻捷	ie[qu ui[uh xi[hk mf[du vu[rg xm[uq jp[fh
車走雷聲語未通	ie[qu zz[tv lw[yt ug[um yu[yw ww[ha ts[sz
塵埃不見咸陽橋	if[xt ai[ts bu[eu jm[ke xm[wh yh[eo qn[ap
陳侯立身何坦蕩	if[eq hz[rv li[lh uf[pu he[rk tj[to dh[cd
陳王昔時宴平樂	if[eq wh[su xi[go ui[oc yj[go pk[hb le[px
塵心未盡思鄉縣	if[xt xb[dv ww[ha jb[ud si[tx xl[sp xm[qs
晨搖玉佩趨金殿	if[oi yc[fa yu[wd pw[rj qu[zd jb[rw dm[uj
晨詣超師院讀禪經	if[oi yi[yb ic[zd ui[uh yr[eg du[yu ij[ub jk[ss
陳子昂	if[eq zi[lh ah[op
澄澄變今古	ig[dd ig[dd bm[yy jb[rd gu[uk
澄澄映葭葦	ig[dd ig[dd yk[ok jx[ck ww[cw
城春草木深	ig[tw iy[so cc[co mu[ub uf[dg
承恩不在貌	ig[lu en[wx bu[eu zd[ut mc[pb
承恩數上南薰殿	ig[lu en[wx uu[mw uh[bh nj[uk xy[pd dm[uj
承歡侍宴無閒暇	ig[lu hr[yd ui[rt yj[go wu[ee xm[ma xx[ok
稱名憶舊容	ig[hd mk[xk yi[xv jq[uo rs[xr
城闕輔三秦	ig[tw qt[mn fu[if sj[hh qb[sh
城闕夜千重	ig[tw qt[mn ye[wr qm[pu vs[ph
城上高樓接大荒	ig[tw uh[bh gc[wk lz[am jp[fl da[hr hl[cw
城下沒全師	ig[tw xx[hb mw[dj qr[rw ui[uh
丞相祠堂何處尋	ig[lh xl[am ci[uv th[xt he[rk iu[wb xy[xc
城小賊不屠	ig[tw xn[ub zw[bg bu[eu tu[ut
誠知此恨人人有	ig[yw vi[uk ci[vb hf[xg rf[pd rf[pd yz[uo
城中相識盡繁華	ig[tw vs[ku xl[am ui[yk jb[ud fj[ry hx[ru
城中增暮寒	ig[tw vs[ku zg[tb mu[co hj[gd
赤壁	ii[ty bi[ut
遲遲鐘鼓初長夜	ii[uz ii[uz vs[jv gu[uu iu[yd ih[ph ye[wr
持此謝高鳥	ii[ft ci[vb xp[yu gc[wk nn[nh
池潢不敢顧	ii[dy hl[dg bu[eu gj[vw gu[iy
赤雞白狗賭梨慄	ii[ty ji[yn bd[po gz[qb du[bt li[ha li[xa
恥令越甲鳴吾君	ii[ev lk[rd yt[zh jx[ou mk[kn wu[wk jy[xk
魑魅喜人過	ii[gw mw[gh xi[uk rf[pd go[cz
持謝鄰家子	ii[ft xp[yu lb[re jx[gu zi[lh
池月漸東上	ii[dy yt[ke jm[di ds[qx uh[bh
重上君子堂	is[ph uh[bh jy[xk zi[lh th[xt
蟲聲新透綠窗紗	is[ks ug[um xb[lj tz[hz lv[sx il[xp ua[sx
籌筆驛	iz[vf bi[vm yi[my
惆悵南朝事	iz[xk ih[xi nj[uk ic[uo ui[hk
酬程延秋夜即事見贈	iz[yd ig[hk yj[pj qq[hh ye[wr ji[ge ui[hk jm[ke zg[bb
抽刀斷水水更流	iz[fy dc[vp dr[mj uv[uu uv[uu gg[ho lq[dw
酬郭給事	iz[yd go[we gw[sr ui[hk
愁因薄暮起	iz[hx yb[wd bo[cd mu[co qi[zk
愁雲黲淡萬里凝	iz[hx yy[es cj[hs dj[dh wj[hv li[ot nk[db
酬張少府	iz[yd vh[gi uc[xp fu[gr
觸波濤	iu[di bo[dp tc[df
處處伴愁顏	iu[wb iu[wb bj[rb iz[hx yj[ly
處處黃蘆草	iu[wb iu[wb hl[gy lu[ch cc[co
處處聞啼鳥	iu[wb iu[wb wf[me ti[kl nn[nh
初彈淥水後楚妃	iu[yd dj[gb lu[dx uv[uu hz[pk iu[ap fw[nk
出洞無論隔山水	iu[ck ds[dk wu[ee ly[yr ge[eh uj[uk uv[uu
初發揚子寄元大校書	iu[yd fa[vy yh[fv zi[lh ji[gd yr[ee da[hr xn[al uu[vv
楚江懷古	iu[ap jl[dg hk[xb gu[uk
楚江微雨裡	iu[ap jl[dg ww[ru yu[hk li[ot
出郊曠清曙	iu[ck jn[le kl[og qk[df uu[os
楚客相思益渺然	iu[ap ke[gw xl[am si[tx yi[bm mn[dm rj[xd
出門搔白首	iu[ck mf[du sc[fy bd[po uz[be
初日郢門山	iu[yd ri[wh yk[ke mf[du uj[uk
初日照高林	iu[yd ri[wh vc[od gc[wk lb[aa
出入高下窮煙霏	iu[ck ru[pd gc[wk xx[hb qs[xl yj[hw fw[yf
出塞復入塞	iu[ck sd[gt fu[ro ru[pd sd[gt
楚塞三湘接	iu[ap sd[gt sj[hh xl[da jp[fl
出山泉水濁	iu[ck uj[uk qr[bu uv[uu vo[di
出師未捷身先死	iu[ck ui[uh ww[ha jp[fh uf[pu xm[ne si[hx
初為霓裳後六麼	iu[yd ww[dl ni[yj ih[xy hz[pk lq[wb me[ps
初聞涕淚滿衣裳	iu[yd wf[me ti[db lw[dm mj[dc yi[wy uh[xy
出行復悠悠	iu[ck xk[rh fu[ro yz[rx yz[rx
初因避地去人間	iu[yd yb[wd bi[uz di[ty qu[ts rf[pd jm[mo
滁州西澗	iu[de vz[dp xi[hk jm[dm
川為靜其波	ir[pu ww[dl jk[fd qi[cb bo[dp
傳聞至此回	ir[re wf[me vi[ht ci[vb hv[wk
傳之七十有二代	ir[re vi[dv qi[hv ui[hu yz[uo er[hh dd[rq
摐金伐鼓下榆關	il[[ jb[rw fa[rg gu[uu xx[hb yu[ar gr[bt
床前明月光	il[ga qm[bo mk[oo yt[ke gl[xe
垂釣將已矣	iv[ph dn[jb jl[dx yi[kv yi[su
吹度玉門關	iv[kd du[gn yu[wd mf[du gr[bt
春蠶到死絲方盡	iy[so cj[ti dc[hd si[hx si[sh fh[dw jb[ud
春草閉閒門	iy[so cc[co bi[mc xm[ma mf[du
春草明年綠	iy[so cc[co mk[oo nm[rn lv[sx
春潮帶雨晚來急	iy[so ic[du dd[cj yu[hk wj[od ld[hm ji[dx
春城無處不飛花	iy[so ig[tw wu[ee iu[wb bu[eu fw[vp hx[cr
春城紫禁曉陰陰	iy[so ig[tw zi[vy jb[ae xn[oq yb[eo yb[eo
春愁黯黯獨成眠	iy[so iz[hx an[hl an[hl du[qi ig[wv mm[mm
春窗曙滅九微火	iy[so il[xp uu[os mp[hh jq[pv ww[ru ho[dp
春詞	iy[so ci[yv
春從春遊夜專夜	iy[so cs[rr iy[so yz[df ye[wr vr[ev ye[wr
春泛若耶溪	iy[so fj[dp ro[cu ye[ee xi[da
春風不相識	iy[so fg[ji bu[eu xl[am ui[yk
春風吹又生	iy[so fg[ji iv[kd yz[vd ug[pf
春風對青冢	iy[so fg[ji dv[yc qk[fo vs[gu
春風桃李花開日	iy[so fg[ji tc[av li[az hx[cr kd[hc ri[wh
春歌	iy[so ge[kd
春宮曲	iy[so gs[gk qu[ou
春宮怨	iy[so gs[gk yr[xx
春歸在客先	iy[so gv[ux zd[ut ke[gw xm[ne
春寒賜浴華清池	iy[so hj[gd ci[bo yu[db hx[ru qk[df ii[dy
春江花朝秋月夜	iy[so jl[dg hx[cr vc[uo qq[hh yt[ke ye[wr
春鳩鳴何處	iy[so jq[jn mk[kn he[rk iu[wb
春來遍是桃花水	iy[so ld[hm bm[hz ui[op tc[av hx[cr uv[uu
春來發幾枝	iy[so ld[hm fa[vy ji[pv vi[au
春眠不覺曉	iy[so mm[mm bu[eu jt[xj xn[oq
春日凝妝上翠樓	iy[so ri[wh nk[db vl[dn uh[bh cv[xw lz[am
春日潛行曲江曲	iy[so ri[wh qm[de xk[rh qu[ou jl[dg qu[ou
春思	iy[so si[tx
春宿左省	iy[so su[gr zo[ug ug[xm
春望	iy[so wh[ww
春曉	iy[so xn[oq
春宵苦短日高起	iy[so xn[gx ku[cg dr[ud ri[wh gc[wk qi[zk
春心莫共花爭發	iy[so xb[dv mo[co gs[gb hx[cr vg[dx fa[vy
春雨	iy[so yu[hk
春與青溪長	iy[so yu[hv qk[fo xi[da ih[ph
春怨	iy[so yr[xx
次北固山下	ci[dd bw[ub gu[wg uj[uk xx[hb
此道昔歸順	ci[vb dc[bz xi[go gv[ux uy[iy
此地空餘黃鶴樓	ci[vb di[ty ks[xg yu[re hl[gy he[gn lz[am
此地一為別	ci[vb di[ty yi[hh ww[dl bp[kd
辭根散作九秋蓬	ci[ql gf[ag sj[gw zo[rv jq[pv qq[hh pg[cw
此恨綿綿無絕期	ci[vb hf[xg mm[sb mm[sb wu[ee jt[sd qi[qo
