哀江頭	ai[wk jl[dg tz[dd
千金散盡還復來	qm[pu jb[rw sj[gw jb[ud hr[bz fu[ro ld[hm
乾坤日夜浮	qm[ur ky[to ri[wh ye[wr fu[da
千里其如何	qm[pu li[ot qi[cb ru[nk he[rk
牽蘿補茅屋	qm[dg lo[cs bu[yb mc[cy wu[uh
前年伐月支	qm[bo nm[rn fa[rg yt[ke vi[uy
錢起	qm[jj qi[zk
千秋尚凜然	qm[pu qq[hh uh[xk lb[dw rj[xd
千秋萬歲名	qm[pu qq[hh wj[hv sv[ux mk[xk
千山鳥飛絕	qm[pu uj[uk nn[nh fw[vp jt[sd
千山響杜鵑	qm[pu uj[uk xl[kp du[at jr[kn
千乘萬騎西南行	qm[pu ug[qb wj[hv qi[md xi[hk nj[uk xk[rh
千樹萬樹梨花開	qm[pu uu[ay wj[hv uu[ay li[ha hx[cr kd[hc
潛心默禱若有應	qm[de xb[dv mo[hq dc[uf ro[cu yz[uo yk[gx
千尋鐵鎖沈江底	qm[pu xy[xc tp[jp so[jx uf[dg jl[dg di[gu
千巖萬壑路不定	qm[pu yj[ue wj[hv he[bt lu[zw bu[eu dk[gp
牽衣頓足攔道哭	qm[dg yi[wy dy[ty zu[kv lj[fb dc[bz ku[kq
千營共一呼	qm[pu yk[ck gs[gb yi[hh hu[kp
乾元初從左拾遺移華州掾	qm[ur yr[ee iu[yd cs[rr zo[ug ui[fr yi[vz yi[hx hx[ru vz[dp yr[fv
前月浮樑買茶去	qm[bo yt[ke fu[da ll[da md[vd ia[cr qu[ts
千載琵琶作胡語	qm[pu zd[ti pi[wb pa[wb zo[rv hu[go yu[yw
將進酒	ql[dx jb[ez jq[dy
羌戎賀勞旋	ql[yv rs[gu he[lb lc[cl xr[fr
強移棲息一枝安	ql[gk yi[hx qi[ax xi[zx yi[hh vi[au an[gn
強欲從君無那老	ql[gk yu[bd cs[rr jy[xk wu[ee na[ve lc[tb
樵客初傳漢姓名	qn[av ke[gw iu[yd ir[re hj[dy xk[np mk[xk
樵人歸欲盡	qn[av rf[pd gv[ux yu[bd jb[ud
妾發初覆額	qp[ln fa[vy iu[yd fu[xr ee[gy
且放白鹿青崖間	qp[ke fh[fw bd[po lu[gb qk[fo ya[ui jm[mo
且樂生前一杯酒	qp[ke le[px ug[pf qm[bo yi[hh bw[ab jq[dy
且如今年冬	qp[ke ru[nk jb[rd nm[rn ds[wd
且為王孫立斯須	qp[ke ww[dl wh[su sy[zx li[lh si[qj xu[py
竊聞天子已傳位	qp[xq wf[me tm[hd zi[lh yi[kv ir[re ww[rl
妾心井中水	qp[ln xb[dv jk[ep vs[ku uv[uu
且欲竟尋彭澤宰	qp[ke yu[bd jk[lo xy[xc pg[up ze[dy zd[gl
妾住在橫塘	qp[ln vu[rd zd[ut hg[ag th[tg
秦地羅敷女	qb[sh di[ty lo[sx fu[fw nv[vp
琴歌	qb[wr ge[kd
親朋無一字	qb[la pg[oo wu[ee yi[hh zi[gz
秦桑低綠枝	qb[sh sh[ya di[ru lv[sx vi[au
秦韜玉	qb[sh tc[wa yu[wd
琴心三疊道初成	qb[wr xb[dv sj[hh dp[yq dc[bz iu[yd ig[wv
秦中感秋寄遠上人	qb[sh vs[ku gj[wx qq[hh ji[gd yr[ez uh[bh rf[pd
青靄入看無	qk[fo ai[yy ru[pd kj[fm wu[ee
清晨入古寺	qk[df if[oi ru[pd gu[uk si[tc
清晨再拜鋪丹墀	qk[df if[oi zd[hk bd[fh pu[jf dj[kw ii[tu
清川帶長薄	qk[df ir[pu dd[cj ih[ph bo[cd
清川澹如此	qk[df ir[pu dj[dd ru[nk ci[vb
晴川歷歷漢陽樹	qk[of ir[pu li[il li[il hj[dy yh[eo uu[ay
晴翠接荒城	qk[of cv[xw jp[fl hl[cw ig[tw
清風吹空月舒波	qk[df fg[ji iv[kd ks[xg yt[ke uu[ry bo[dp
青楓江上秋帆遠	qk[fo fg[af jl[dg uh[bh qq[hh fj[jj yr[ez
青楓葉赤天雨霜	qk[fo fg[af ye[ku ii[ty tm[hd yu[hk ul[ya
清光猶為君	qk[df gl[xe yz[qy ww[dl jy[xk
晴光轉綠蘋	qk[of gl[xe vr[ie lv[sx pk[cp
青海頭	qk[fo hd[dr tz[dd
清淮奉使千餘裡	qk[df hk[dv fg[sf ui[rh qm[pu yu[ur li[ot
青槐夾馳道	qk[fo hk[ag jx[hb ii[my dc[bz
清輝淡水木	qk[df hv[xg dj[dh uv[uu mu[ub
清輝玉臂寒	qk[df hv[xg yu[wd bi[uo hj[gd
清輝照衣裳	qk[df hv[xg vc[od yi[wy uh[xy
請君試問東流水	qk[yf jy[xk ui[yq wf[mk ds[qx lq[dw uv[uu
請君為我側耳聽	qk[yf jy[xk ww[dl wo[pf ce[rb er[hu tk[kj
請留盤石上	qk[yf lq[pt pj[vm ui[ek uh[bh
輕攏慢捻抹復挑	qk[is ls[fy mj[xo nm[fr mo[fh fu[ro tn[fv
青樓自管絃	qk[fo lz[am zi[pm gr[vg xm[gw
青蘿拂行衣	qk[fo lo[cs fu[ff xk[rh yi[wy
青冥浩蕩不見底	qk[fo mk[go hc[dn dh[cd bu[eu jm[ke di[gu
清明日宴梅道士房	qk[df mk[oo ri[wh yj[go mw[ar dc[bz ui[uh fh[hf
青泥何盤盤	qk[fo ni[du he[rk pj[vm pj[vm
青鳥飛去銜紅巾	qk[fo nn[nh fw[vp qu[ts xm[rj hs[sg jb[ku
青鳥殷勤為探看	qk[fo nn[nh yb[pj qb[nl ww[dl tj[fg kj[fm
情親見君意	qk[xf qb[la jm[ke jy[xk yi[lx
清秋幕府井梧寒	qk[df qq[hh mu[cj fu[gr jk[ep wu[aw hj[gd
清泉石上流	qk[df qr[bu ui[ek uh[bh lq[dw
情人怨遙夜	qk[xf rf[pd yr[xx yc[az ye[wr
清瑟怨遙夜	qk[df se[wx yr[xx yc[az ye[wr
青山澹吾慮	qk[fo uj[uk dj[dd wu[wk lv[hx
青山獨歸遠	qk[fo uj[uk du[qi gv[ux yr[ez
青山郭外斜	qk[fo uj[uk go[we wd[xb xp[rd
青山橫北郭	qk[fo uj[uk hg[ag bw[ub go[we
青山空復情	qk[fo uj[uk ks[xg fu[ro qk[xf
青山空向人	qk[fo uj[uk ks[xg xl[pk rf[pd
青山朝別暮還見	qk[fo uj[uk vc[uo bp[kd mu[co hd[bz jm[ke
輕生一劍知	qk[is ug[pf yi[hh jm[rd vi[uk
清時有味是無能	qk[df ui[oc yz[uo ww[kh ui[op wu[ee ng[sb
青松如膏沐	qk[fo ss[ab ru[nk gc[wk mu[da
青天無片雲	qk[fo tm[hd wu[ee pm[pu yy[es
蜻蜓飛上玉搔頭	qk[if tk[iq fw[vp uh[bh yu[wd sc[fy tz[dd
輕紈細綺相追飛	qk[is wj[sj xi[st qi[sd xl[am vv[pz fw[vp
清渭東流劍閣深	qk[df ww[dt ds[qx lq[dw jm[rd ge[mw uf[dg
清畏人知	qk[df ww[th rf[pd vi[uk
青溪	qk[fo xi[da
青溪幾曲到雲林	qk[fo xi[da ji[pv qu[ou dc[hd yy[es lb[aa
清溪深不測	qk[df xi[da uf[dg bu[eu ce[db
清心拂塵服	qk[df xb[dv fu[ff if[xt fu[oe
輕煙散入五侯家	qk[is yj[hw sj[gw ru[pd wu[hu hz[rv jx[gu
青陽逼歲除	qk[fo yh[eo bi[hz sv[ux iu[er
清月出嶺光入扉	qk[df yt[ke iu[ck lk[ur gl[xe ru[pd fw[hf
青雲羨鳥飛	qk[fo yy[es xm[bd nn[nh fw[vp
輕舟已過萬重山	qk[is vz[pk yi[kv go[cz wj[hv is[ph uj[uk
請奏鳴琴廣陵客	qk[yf zz[st mk[kn qb[wr gl[di lk[et ke[gw
窮邊有客遊	qs[xl bm[lz yz[uo ke[gw yz[df
窮巷牛羊歸	qs[xl xl[gk nq[pf yh[bs gv[ux
秋邊一雁聲	qq[hh bm[lz yi[hh yj[ir ug[um
秋草獨尋人去後	qq[hh cc[co du[qi xy[xc rf[pd qu[ts hz[pk
秋蟬疏引	qq[hh ij[ib uu[pw yb[gu
秋登蘭山寄張五	qq[hh dg[dd lj[bs uj[uk ji[gd vh[gi wu[hu
秋風吹不盡	qq[hh fg[ji iv[kd bu[eu jb[ud
秋風忽憶江東行	qq[hh fg[ji hu[bx yi[xv jl[dg ds[qx xk[rh
秋歌	qq[hh ge[kd
秋花落更遲	qq[hh hx[cr lo[cd gg[ho ii[uz
秋來未著花	qq[hh ld[hm ww[ha vu[ct hx[cr
丘巒崩摧	qq[jh lr[yu bg[uo cv[fu
秋日登吳公臺上寺遠眺	qq[hh ri[wh dg[dd wu[kt gs[bs td[sk uh[bh si[tc yr[ez tn[mv
秋日赴闕題潼關驛樓	qq[hh ri[wh fu[zb qt[mn ti[oy ts[dl gr[bt yi[my lz[am
秋日望鄉心	qq[hh ri[wh wh[ww xl[sp xb[dv
秋色從西來	qq[hh se[db cs[rr xi[hk ld[hm
秋山又幾重	qq[hh uj[uk yz[vd ji[pv is[ph
秋水日潺湲	qq[hh uv[uu ri[wh ij[du yr[[
邱為	qq[qe ww[dl
虯鬚虎眉仍大顙	qq[iv xu[py hu[hj mw[mm rg[rn da[hr sh[yy
秋雁又南迴	qq[hh yj[ir yz[vd nj[uk hv[wk
秋夜寄邱員外	qq[hh ye[wr ji[gd qq[qe yr[kb wd[xb
秋雨梧桐葉落時	qq[hh yu[hk wu[aw ts[ak ye[ku lo[cd ui[oc
秋月春風等閒度	qq[hh yt[ke iy[so fg[ji dg[vt xm[ma du[gn
秋雲暗幾重	qq[hh yy[es an[ol ji[pv is[ph
曲罷曾教善才服	qu[ou ba[st cg[bo jn[tw uj[yk cd[hu fu[oe
曲罷憫然	qu[ou ba[st mb[xm rj[xd
驅車登古原	qu[mk ie[qu dg[dd gu[uk yr[ib
取代幽憂云爾	qu[ey dd[rq yz[yy yz[xy yy[es er[dx
曲島蒼茫接翠微	qu[ou dc[nu ch[cr mh[cd jp[fl cv[xw ww[ru
驅兒羅酒漿	qu[mk er[pv lo[sx jq[dy jl[du
曲盡河星稀	qu[ou jb[ud he[dk xk[op xi[hi
曲徑通幽處	qu[ou jk[rs ts[sz yz[yy iu[wb
去來江口守空船	qu[ts ld[hm jl[dg kz[uv uz[gc ks[xg ir[vj
去年花裡逢君別	qu[ts nm[rn hx[cr li[ot fg[wz jy[xk bp[kd
去世法舟輕	qu[ts ui[nv fa[dt vz[pk qk[is
去時冠劍是丁年	qu[ts ui[oc gr[ge jm[rd ui[op dk[hu nm[rn
去時里正與裹頭	qu[ts ui[oc li[ot vg[hv yu[hv go[wo tz[dd
去時雪滿天山路	qu[ts ui[oc xt[yx mj[dc tm[hd uj[uk lu[zw
瞿塘石城草蕭瑟	qu[mv th[tg ui[ek ig[tw cc[co xn[cx se[wx
瞿塘灩預堆	qu[mv th[tg yj[df yu[yy dv[tv
趣途無百里	qu[ze tu[rz wu[ee bd[eo li[ot
屈原終投湘水濱	qu[ui yr[ib vs[sw tz[fj xl[da uv[uu bb[dg
曲終收撥當心畫	qu[ou vs[sw uz[vw bo[fv dh[xx xb[dv hx[ht
去住彼此無消息	qu[ts vu[rd bi[rp ci[vb wu[ee xn[dx xi[zx
權德輿	qr[ay de[ru yu[pb
泉壑帶茅茨	qr[bu he[bt dd[cj mc[cy ci[cd
泉聲咽危石	qr[bu ug[um yj[kw ww[de ui[ek
勸我識作石鼓歌	qr[yl wo[pf ui[yk zo[rv ui[ek gu[uu ge[kd
泉源在庭戶	qr[bu yr[di zd[ut tk[gq hu[du
卻顧所來徑	qt[te gu[iy so[pj ld[hm jk[rs
卻看妻子愁何在	qt[te kj[fm qi[hn zi[lh iz[hx he[rk zd[ut
闕題	qt[mn ti[oy
卻下水晶簾	qt[te xx[hb uv[uu jk[oo lm[xj
卻嫌脂粉汙顏色	qt[te xm[nb vi[ob ff[mf wu[dh yj[ly se[db
卻坐促弦弦轉急	qt[te zo[rr cu[rz xm[gw xm[gw vr[ie ji[dx
群壑倏已暝	qy[xy he[bt uu[ru yi[kv mk[og
群山萬壑赴荊門	qy[xy uj[uk wj[hv he[bt fu[zb jk[cd mf[du
群彥今汪洋	qy[xy yj[lp jb[rd wh[dw yh[dy
然後天梯石棧方鉤連	rj[xd hz[pk tm[hd ti[ab ui[ek vj[aj fh[dw gz[jb lm[iz
苒苒幾盈虛	rj[ck rj[ck ji[pv yk[nm xu[hy
繞船月明江水寒	rc[sq ir[vj yt[ke mk[oo jl[dg uv[uu hj[gd
繞床弄青梅	rc[sq il[ga ns[wc qk[fo mw[ar
繞弦風雨哀	rc[sq xm[gw fg[ji yu[hk ai[wk
人歸暮雪時	rf[pd gv[ux mu[co xt[yx ui[oc
人歸山郭暗	rf[pd gv[ux uj[uk go[we an[ol
人間亦自有丹丘	rf[pd jm[mo yi[wy zi[pm yz[uo dj[kw qq[jh
人間又見真乘黃	rf[pd jm[mo yz[vd jm[ke vf[uj ig[qb hl[gy
人看隘若耶	rf[pd kj[fm ai[eb ro[cu ye[ee
人貧傷可憐	rf[pd pb[fb uh[rr ke[dk lm[xr
人生不相見	rf[pd ug[pf bu[eu xl[am jm[ke
人生得意須盡歡	rf[pd ug[pf de[ro yi[lx xu[py jb[ud hr[yd
人生如此自可樂	rf[pd ug[pf ru[nk ci[vb zi[pm ke[dk le[px
人生由命非由他	rf[pd ug[pf yz[ou mk[rh fw[su yz[ou ta[ry
人生有情淚沾臆	rf[pd ug[pf yz[uo qk[xf lw[dm vj[db yi[ol
人生在世不稱意	rf[pd ug[pf zd[ut ui[nv bu[eu if[hd yi[lx
忍使驊騮氣凋喪	rf[dx ui[rh hx[mr lq[mp qi[rh dn[dk sh[ty
人世幾回傷往事	rf[pd ui[nv ji[pv hv[wk uh[rr wh[rd ui[hk
人事音書漫寂寥	rf[pd ui[hk yb[lo uu[vv mj[do ji[gu ln[gx
人事有代謝	rf[pd ui[hk yz[uo dd[rq xp[yu
人誰感至精	rf[pd uv[yv gj[wx vi[ht jk[mf
人隨沙路向江村	rf[pd sv[eu ua[dx lu[zw xl[pk jl[dg cy[ac
仁恤庶無尤	rf[re xu[xp uu[gn wu[ee yz[yd
人在木蘭舟	rf[pd zd[ut mu[ub lj[bs vz[pk
仍憐故鄉水	rg[rn lm[xr gu[gw xl[sp uv[uu
日出霧露餘	ri[wh iu[ck wu[yw lu[yz yu[ur
日出雲中雞犬喧	ri[wh iu[ck yy[es vs[ku ji[yn qr[dd xr[kg
日高花影重	ri[wh gc[wk hx[cr yk[op is[ph
日光斜照集靈臺	ri[wh gl[xe xp[rd vc[od ji[va lk[xh td[sk
日暮復何之	ri[wh mu[co fu[ro he[rk vi[dv
日暮漢宮傳蠟燭	ri[wh mu[co hj[dy gs[gk ir[re la[ig vu[hi
日暮客愁新	ri[wh mu[co ke[gw iz[hx xb[lj
日暮聊為梁父吟	ri[wh mu[co ln[ep ww[dl ll[da fu[bi yb[kr
日暮鄉關何處是	ri[wh mu[co xl[sp gr[bt he[rk iu[wb ui[op
日暮掩柴扉	ri[wh mu[co yj[fd id[va fw[hf
日暮倚修竹	ri[wh mu[co yi[rd xq[ru vu[rr
日色才臨仙掌動	ri[wh se[db cd[hu lb[uv xm[ru vh[xf ds[el
日色冷青松	ri[wh se[db lg[dr qk[fo ss[ab
日色已盡花含煙	ri[wh se[db yi[kv jb[ud hx[cr hj[rk yj[hw
日夕懷空意	ri[wh xi[xd hk[xb ks[xg yi[lx
日夕涼風至	ri[wh xi[xd ll[dw fg[ji vi[ht
日夕望君抱琴至	ri[wh xi[xd wh[ww jy[xk bc[fb qb[wr vi[ht
日銷月鑠就埋沒	ri[wh xn[jx yt[ke uo[jp jq[wy md[to mo[dj
日晏猶得眠	ri[wh yj[og yz[qy de[ro mm[mm
日夜經過趙李家	ri[wh ye[wr jk[ss go[cz vc[zi li[az jx[gu
日月照耀金銀臺	ri[wh yt[ke vc[od yc[xx jb[rw yb[jg td[sk
戎馬關山北	rs[gu ma[vv gr[bt uj[uk bw[ub
容止順其猷	rs[xr vi[uh uy[iy qi[cb yz[bq
入蔡縛賊獻太廟	ru[pd cd[cx fu[sf zw[bg xm[uq td[dd mn[gy
如此至寶存豈多	ru[nk ci[vb vi[ht bc[gw cy[uz qi[uk do[xx
汝從事愈宜為辭	ru[dn cs[rr ui[hk yu[rx yi[gq ww[dl ci[ql
濡染大筆何淋漓	ru[dy rj[da da[hr bi[vm he[rk lb[da li[dw
如聽萬壑松	ru[nk tk[kj wj[hv he[bt ss[ab
如聽仙樂耳暫明	ru[nk tk[kj xm[ru yt[px er[hu zj[io mk[oo
若非巾柴車	ro[cu fw[su jb[ku id[va ie[qu
若負平生志	ro[cu fu[db pk[hb ug[pf vi[ux
颯颯東風細雨來	sa[lf sa[lf ds[qx fg[ji xi[st yu[hk ld[hm
塞上曲	sd[gt uh[bh qu[ou
塞下曲	sd[gt xx[hb qu[ou
塞下曲四首之二	sd[gt xx[hb qu[ou si[we uz[be vi[dv er[hh
塞下曲四首之三	sd[gt xx[hb qu[ou si[we uz[be vi[dv sj[hh
塞下曲四首之四	sd[gt xx[hb qu[ou si[we uz[be vi[dv si[we
塞下曲四首之一	sd[gt xx[hb qu[ou si[we uz[be vi[dv yi[hh
三邊曙色動危旌	sj[hh bm[lz uu[os se[db ds[el ww[de jk[fr
散步詠涼天	sj[gw bu[vu ys[kd ll[dw tm[hd
三春白雪歸青冢	sj[hh iy[so bd[po xt[yx gv[ux qk[fo vs[gu
散發乘夜涼	sj[gw fa[vy ig[qb ye[wr ll[dw
三分割據紆籌策	sj[hh ff[bd ge[gd ju[fu yu[se iz[vf ce[vc
三顧頻煩天下計	sj[hh gu[iy pb[vy fj[hy tm[hd xx[hb ji[yu
三晉雲山皆北向	sj[hh jb[ho yy[es uj[uk jp[bb bw[ub xl[pk
三徑苦無資	sj[hh jk[rs ku[cg wu[ee zi[db
三軍大呼陰山動	sj[hh jy[gi da[hr hu[kp yb[eo uj[uk ds[el
三年謫宦此棲遲	sj[hh nm[rn ve[yl hr[gk ci[vb qi[ax ii[uz
三千寵愛在一身	sj[hh qm[pu is[gy ai[au zd[ut yi[hh uf[pu
三日入廚下	sj[hh ri[wh ru[pd iu[id xx[hb
散入珠簾溼羅幕	sj[gw ru[pd vu[wp lm[xj ui[do lo[sx mu[cj
三峽樓臺淹日月	sj[hh xx[uj lz[am td[sk yj[dd ri[wh yt[ke
三峽星河影動搖	sj[hh xx[uj xk[op he[dk yk[op ds[el yc[fa
三湘愁鬢逢秋色	sj[hh xl[da iz[hx bb[ig fg[wz qq[hh se[db
三夜頻夢君	sj[hh ye[wr pb[vy mg[ax jy[xk
三月三日天氣新	sj[hh yt[ke sj[hh ri[wh tm[hd qi[rh xb[lj
三朝出入榮	sj[hh vc[uo iu[ck ru[pd rs[ca
色靜深松裡	se[db jk[fd uf[dg ss[ab li[ot
色難腥腐餐楓香	se[db nj[yv xk[oo fu[gk cj[br fg[af xl[ho
森然魄動下馬拜	sf[aa rj[xd po[bg ds[el xx[hb ma[vv bd[fh
僧皎然	sg[rb jn[bl rj[xd
僧言古壁佛畫好	sg[rb yj[we gu[uk bi[ut fo[rf hx[ht hc[nz
沙場烽火侵胡月	ua[dx ih[tv fg[hw ho[dp qb[rx hu[go yt[ke
紗窗日落漸黃昏	ua[sx il[xp ri[wh lo[cd jm[di hl[gy hy[uo
沙口石凍馬蹄脫	ua[dx kz[uv ui[ek ds[dq ma[vv ti[zl to[ob
沙平水息聲影絕	ua[dx pk[hb uv[uu xi[zx ug[um yk[op jt[sd
殺氣三時作陣雲	ua[ia qi[rh sj[hh ui[oc zo[rv vf[ei yy[es
殺人莫敢前	ua[ia rf[pd mo[co gj[vw qm[bo
殺人如麻	ua[ia rf[pd ru[nk ma[ga
沙行渡頭歇	ua[dx xk[rh du[dg tz[dd xp[od
山愛夕陽時	uj[uk ai[au xi[xd yh[eo ui[oc
扇裁月魄羞難掩	uj[hx cd[ty yt[ke po[bg xq[yi nj[yv yj[fd
山川蕭條極邊土	uj[uk ir[pu xn[cx tn[wa ji[aj bm[lz tu[uh
山光忽西落	uj[uk gl[xe hu[bx xi[hk lo[cd
山光悅鳥性	uj[uk gl[xe yt[xb nn[nh xk[xp
山紅澗碧紛爛漫	uj[uk hs[sg jm[dm bi[we ff[sf lj[hb mj[do
珊瑚碧樹交枝柯	uj[wk hu[wg bi[we uu[ay jn[li vi[au ke[ak
山迴路轉不見君	uj[uk hv[wk lu[zw vr[ie bu[eu jm[ke jy[xk
山居秋暝	uj[uk ju[ug qq[hh mk[og
山開曠望旋平陸	uj[uk kd[hc kl[og wh[ww xr[fr pk[hb lu[ef
山口潛行始隈隩	uj[uk kz[uv qm[de xk[rh ui[ns ww[et ao[[
山林二十年	uj[uk lb[aa er[hh ui[hu nm[rn
山暝聽猿愁	uj[uk mk[og tk[kj yr[qt iz[hx
山色遙連秦樹晚	uj[uk se[db yc[az lm[iz qb[sh uu[ay wj[od
山色有無中	uj[uk se[db yz[uo wu[ee vs[ku
山石	uj[uk ui[ek
山石犖确行徑微	uj[uk ui[ek lo[cn qt[ed xk[rh jk[rs ww[ru
山寺鐘鳴晝已昏	uj[uk si[tc vs[jv mk[kn vz[uo yi[kv hy[uo
山隨平野盡	uj[uk sv[eu pk[hb ye[oy jb[ud
山為樽	uj[uk ww[dl zy[ab
繕性何由熟	uj[sy xk[xp he[rk yz[ou uu[wd
山形依舊枕寒流	uj[uk xk[kp yi[ry jq[uo vf[ag hj[gd lq[dw
山夷又紛然	uj[uk yi[hg yz[vd ff[sf rj[xd
山月隨人歸	uj[uk yt[ke sv[eu rf[pd gv[ux
山月照彈琴	uj[uk yt[ke vc[od tj[gb qb[wr
山在虛無縹緲間	uj[uk zd[ut xu[hy wu[ee pn[sx mn[sm jm[mo
山中習靜觀朝槿	uj[uk vs[ku xi[vd jk[fd gr[yj ic[uo jb[an
山中相送罷	uj[uk vs[ku xl[am ss[bz ba[st
山中一夜雨	uj[uk vs[ku yi[hh ye[wr yu[hk
上蔡蒼鷹何足道	uh[bh cd[cx ch[cr yk[gn he[rk zu[kv dc[bz
上國隨緣住	uh[bh go[ww sv[eu yr[sv vu[rd
上將擁旄西出徵	uh[bh jl[dx ys[fo mc[fr xi[hk iu[ck vg[rh
上林繁花照眼新	uh[bh lb[aa fj[ry hx[cr vc[od yj[mg xb[lj
傷麟怨道窮	uh[rr lb[gm yr[xx dc[bz qs[xl
商女不知亡國恨	uh[lk nv[vp bu[eu vi[uk wh[wv go[ww hf[xg
上窮碧落下黃泉	uh[bh qs[xl bi[we lo[cd xx[hb hl[gy qr[bu
商人重利輕別離	uh[lk rf[pd vs[ph li[hd qk[is bp[kd li[wk
尚想舊情憐婢僕	uh[xk xl[ax jq[uo qk[xf lm[xr bi[nb pu[rb
尚衣方進翠雲裘	uh[xk yi[wy fh[dw jb[ez cv[xw yy[es qq[hy
上有黃鸝深樹鳴	uh[bh yz[uo hl[gy li[hn uf[dg uu[ay mk[kn
上有六龍回日之高標	uh[bh yz[uo lq[wb ls[yp hv[wk ri[wh vi[dv gc[wk bn[ae
上有青冥之長天	uh[bh yz[uo qk[fo mk[go vi[dv ih[ph tm[hd
少婦城南欲斷腸	uc[xp fu[nx ig[tw nj[uk yu[bd dr[mj ih[ov
少婦今春意	uc[xp fu[nx jb[rd iy[so yi[lx
少孤為客早	uc[xp gu[zp ww[dl ke[gw zc[ou
少陵無人謫仙死	uc[xp lk[et wu[ee rf[pd ve[yl xm[ru si[hx
少陵野老吞生哭	uc[xp lk[et ye[oy lc[tb ty[tk ug[pf ku[kq
少年十五二十時	uc[xp nm[rn ui[hu wu[hu er[hh ui[hu ui[oc
少小離家老大回	uc[xp xn[ub li[wk jx[gu lc[tb da[hr hv[wk
少小雖非投筆吏	uc[xp xn[ub sv[ki fw[su tz[fj bi[vm li[hk
少小幽燕客	uc[xp xn[ub yz[yy yj[nk ke[gw
少壯能幾時	uc[xp vl[du ng[sb ji[pv ui[oc
舍南舍北皆春水	ue[rg nj[uk ue[rg bw[ub jp[bb iy[so uv[uu
射殺山中白額虎	ue[uc ua[ia uj[uk vs[ku bd[po ee[gy hu[hj
捨生亦如此	ue[rg ug[pf yi[wy ru[nk ci[vb
赦書一日行萬里	ue[tw uu[vv yi[hh ri[wh xk[rh wj[hv li[ot
麝薰微度繡芙蓉	ue[gu xy[pd ww[ru du[gn xq[sh fu[ce rs[cx
誰人更掃黃金臺	uw[yv rf[pd gg[ho sc[fx hl[gy jb[rw td[sk
審藏用之機	uf[go ch[cw ys[ou vi[dv ji[aj
身當恩遇常輕敵	uf[pu dh[xx en[wx yu[oz ih[xk qk[is di[qw
身登青雲梯	uf[pu dg[dd qk[fo yy[es ti[ab
身多疾病思田裡	uf[pu do[xx ji[bu bk[bh si[tx tm[wu li[ot
深宮二十年	uf[dg gs[gk er[hh ui[hu nm[rn
神歡體自輕	uf[uo hr[yd ti[ra zi[pm qk[is
深林人不知	uf[dg lb[aa rf[pd bu[eu vi[uk
深柳讀書堂	uf[dg lq[ap du[yu uu[vv th[xt
神妙獨數江都王	uf[uo mn[nx du[qi uu[mw jl[dg du[te wh[su
慎莫近前丞相嗔	uf[xu mo[co jb[jz qm[bo ig[lh xl[am if[ku
神女生涯原是夢	uf[uo nv[vp ug[pf ya[di yr[ib ui[op mg[ax
沈全期	uf[dg qr[rw qi[qo
深山何處鐘	uf[dg uj[uk he[rk iu[wb vs[jv
深山竊聽來妖精	uf[dg uj[uk qp[xq tk[kj ld[hm yc[np jk[mf
身上無有完肌膚	uf[pu uh[bh wu[ee yz[uo wj[ge ji[oj fu[oe
深鎖春光一院愁	uf[dg so[jx iy[so gl[xe yi[hh yr[eg iz[hx
身為賈人婦	uf[pu ww[dl gu[xb rf[pd fu[nx
身無綵鳳雙飛翼	uf[pu wu[ee cd[ap fg[jy ul[yy fw[vp yi[xt
慎勿出口他人狙	uf[xu wu[bp iu[ck kz[uv ta[ry rf[pd ju[qq
沈吟放撥插弦中	uf[dg yb[kr fh[fw bo[fv ia[fq xm[gw vs[ku
身欲奮飛病在床	uf[pu yu[bd ff[dt fw[vp bk[bh zd[ut il[ga
深竹暗浮煙	uf[dg vu[rr an[ol fu[da yj[hw
神縱慾福難為功	uf[uo zs[sr yu[bd fu[uh nj[yv ww[dl gs[gl
深坐蹙蛾眉	uf[dg zo[rr cu[wz ee[ip mw[mm
生別常惻惻	ug[pf bp[kd ih[xk ce[xb ce[xb
聖朝無闕事	ug[yt ic[uo wu[ee qt[mn ui[hk
聖代即今多雨露	ug[yt dd[rq ji[ge jb[rd do[xx yu[hk lu[yz
聖代無隱者	ug[yt dd[rq wu[ee yb[ed ve[to
聖德北服南單于	ug[yt de[ru bw[ub fu[oe nj[uk ij[bo yu[eu
聖恩若許留太學	ug[yt en[wx ro[cu xu[yw lq[pt td[dd xt[xz
生兒不象賢	ug[pf er[pv bu[eu xl[dk xm[ub
升階傴僂薦脯酒	ug[pc jp[er yu[rk lv[rm jm[cu pu[of jq[dy
生男埋沒隨百草	ug[pf nj[tl md[to mo[dj sv[eu bd[eo cc[co
生女猶得嫁比鄰	ug[pf nv[vp yz[qy de[ro jx[ng bi[bb lb[re
勝事空自知	ug[op ui[hk ks[xg zi[pm vi[uk
生事且瀰漫	ug[pf ui[hk qp[ke mi[gd mj[do
升堂坐階新雨足	ug[pc th[xt zo[rr jp[er xb[lj yu[hk zu[kv
昇天入地求之遍	ug[pc tm[hd ru[pd di[ty qq[hu vi[dv bm[hz
聖文神武皇帝初	ug[yt wf[wi uf[uo wu[hv hl[bw di[lj iu[yd
生小不相識	ug[pf xn[ub bu[eu xl[am ui[yk
聲喧亂石中	ug[um xr[kg lr[qv ui[ek vs[ku
